case_id,a,b,c,d,alpha,table_size,n1,n2,max_ratio,blaker_lower,blaker_upper,blaker_time,blaker_status,conditional_lower,conditional_upper,conditional_time,conditional_status,midp_lower,midp_upper,midp_time,midp_status,unconditional_lower,unconditional_upper,unconditional_time,unconditional_status,wald_lower,wald_upper,wald_time,wald_status
case_1,0,10,0,10,0.05,20,10,10,1.0,,,3.814697265625e-06,error,,,1.9073486328125e-06,error,,,1.9073486328125e-06,error,,,5.0067901611328125e-05,error,,,9.5367431640625e-07,error
case_2,10,0,10,0,0.05,20,10,10,1.0,,,1.1920928955078125e-06,error,,,1.6689300537109375e-06,error,,,1.1920928955078125e-06,error,,,1.9788742065429688e-05,error,,,9.5367431640625e-07,error
case_3,0,10,10,0,0.05,20,10,10,1.0,0.0,,0.0005629062652587891,success,0.0,inf,5.817413330078125e-05,success,,,6.723403930664062e-05,error,0.0,inf,3.814697265625e-05,success,4.099332901683489e-05,0.12543237133382415,4.76837158203125e-06,success
case_4,10,0,0,10,0.05,20,10,10,1.0,,inf,4.1961669921875e-05,success,0.0,inf,0.0002009868621826172,success,,,6.914138793945312e-05,error,0.0,inf,4.38690185546875e-05,success,7.972423620523067,24394.213009373456,4.0531158447265625e-06,success
case_5,1,0,0,1,0.05,2,1,1,1.0,,inf,8.797645568847656e-05,success,,,0.00014019012451171875,error,,,7.295608520507812e-05,error,0.0,inf,5.030632019042969e-05,success,0.09728469932908372,832.6078053240656,3.0994415283203125e-06,success
case_6,0,1,1,0,0.05,2,1,1,1.0,0.0,29.25,0.00011515617370605469,success,0.0,inf,5.698204040527344e-05,success,,,9.012222290039062e-05,error,0.0,inf,4.410743713378906e-05,success,0.0012010456707294288,10.279108707704514,2.1457672119140625e-06,success
case_7,6,4,7,5,0.05,22,10,12,0.6,,7.65,0.0002040863037109375,success,,,0.008237838745117188,error,,,0.00020623207092285156,error,0.0,inf,16.202313899993896,success,0.20756819822374922,5.405597716452578,8.821487426757812e-06,success
case_8,6,3,6,8,0.05,23,9,14,0.6666666666666666,,21.825,0.00032901763916015625,success,,,0.001077890396118164,error,,,9.918212890625e-05,error,0.0,inf,18.064873933792114,success,0.4649710366966941,12.684573270572926,1.0967254638671875e-05,success
case_9,4,4,7,8,0.05,23,8,15,0.5333333333333333,,7.65,0.00037407875061035156,success,,,0.0018451213836669922,error,,,0.00016689300537109375,error,0.0,inf,19.325863122940063,success,0.22098685594783132,5.812311501221886,1.430511474609375e-05,success
case_10,2,6,4,2,0.05,14,8,6,0.75,,2.25,0.00038504600524902344,success,,,0.0014688968658447266,error,,,0.00015282630920410156,error,0.0,inf,21.550431966781616,success,0.025494783026712094,1.7908407728479623,1.621246337890625e-05,success
case_11,7,6,1,5,0.05,19,13,6,0.8333333333333334,,230.85,0.0006189346313476562,success,,,0.0007231235504150391,error,,,0.00023603439331054688,error,0.0,inf,20.879194021224976,success,0.5237393905159774,34.17617350948062,1.5735626220703125e-05,success
case_12,5,16,26,16,0.05,63,21,42,0.7619047619047619,,,0.0022230148315429688,success,,,0.024711132049560547,error,,,0.0002110004425048828,error,0.0,inf,19.63735795021057,success,0.06608716792501987,0.6518032024849592,1.5020370483398438e-05,success
case_13,29,21,14,20,0.05,84,50,34,0.5882352941176471,,4.8375,0.0008859634399414062,success,,,0.04496192932128906,error,,,0.00019288063049316406,error,0.0,inf,19.526978015899658,success,0.8105432788877237,4.642614471920355,1.4781951904296875e-05,success
case_14,19,19,23,16,0.05,77,38,39,0.5897435897435898,,1.9125,0.0008280277252197266,success,,,0.04569292068481445,error,,,0.0001900196075439453,error,0.0,inf,20.111263036727905,success,0.28857184423743826,1.7083553374455036,1.621246337890625e-05,success
case_15,27,24,29,7,0.05,87,51,36,0.8055555555555556,,,0.003016233444213867,success,,,0.05063915252685547,error,,,0.0001583099365234375,error,0.0,inf,0.6254892349243164,success,0.10826704896990896,0.7521689722587124,1.621246337890625e-05,success
case_16,9,23,11,25,0.05,68,32,36,0.71875,,2.9250000000000003,0.000492095947265625,success,,,0.01385807991027832,error,,,0.0001609325408935547,error,0.0,inf,24.92916202545166,success,0.32125352172009913,2.5011991297628082,1.9311904907226562e-05,success
